id,attacker_id,flag_id,attacker_delta,victim_delta,timestamp
30684,6,9851,4.766941708,-4.766941708,2022-06-16 12:09:18.234962+00
22194,2,8683,7.42942668,-7.42942668,2022-06-16 11:33:14.532784+00
27232,2,9390,7.316626239,-7.316626239,2022-06-16 11:53:05.012509+00
25333,4,9002,11.45368491,-11.45368491,2022-06-16 11:47:41.49272+00
25334,4,9066,11.39830637,-11.39830637,2022-06-16 11:47:41.496269+00
25335,4,9130,11.34329184,-11.34329184,2022-06-16 11:47:41.497101+00
32778,2,10221,5.50688495,-5.50688495,2022-06-16 12:20:14.432985+00
27259,1,9390,6.729539804,-6.729539804,2022-06-16 11:53:14.136151+00
27260,1,9406,5.235854686,-5.235854686,2022-06-16 11:53:14.139949+00
22271,3,8830,14.03979167,-14.03979167,2022-06-16 11:34:03.906415+00
27261,1,9374,7.591240853,-7.591240853,2022-06-16 11:53:14.140813+00
